journal,rank
Irish Journal of Management,1
Issues in Accounting Education,2
IZA Journal of Labor Policy,1
Jahrbucher fur Nationalokonomie und Statistik,1
Japan and the World Economy,1
Japanese Economic Review,1
Japanese Political Economy,1
Japanese Psychological Research,1
Journal de Gestion et d'Afaconomie de la SantAfA,1
Journal for Advancement of Marketing Education,1
Journal for Global Business Advancement (JGBA),1
Journal for International Business and Entrepreneurship Development,1
Journal for Labour Market Research,1
Journal of Accounting and Economics,5
Journal of Accounting and Management Information Systems,1
Journal of Accounting and Organizational Change,2
Journal of Accounting and Public Policy,3
Journal of Accounting and Taxation,1
Journal of Accounting Education,2
Journal of Accounting in Emerging Economies,2
Journal of Accounting Literature,3
Journal of Accounting Research,5
"Journal of Accounting, Auditing and Finance",3
Journal of Advertising,3
Journal of Advertising Education,1
Journal of Advertising Research,3
Journal of African Business,1
Journal of African Economies,2
Journal of Agrarian Change,2
Journal of Agricultural and Applied Economics,1
Journal of Agricultural and Food Industrial Organization,1
Journal of Agricultural and Resource Economics,2
Journal of Agricultural Economics,3
Journal of Air Transport Management,1
Journal of Alternative Investments,2
Journal of Applied Accounting Research,2
Journal of Applied Behavioral Science,2
Journal of Applied Communication Research,2
Journal of Applied Corporate Finance,1
Journal of Applied Econometrics,3
Journal of Applied Economics,1
Journal of Applied Probability,2
Journal of Applied Psychology,5
Journal of Applied Social Psychology,2
Journal of Applied Statistics,2
Journal of Asia Business Studies,1
Journal of Asia Pacific Business,1
Journal of Asian Economics,1
Journal of Asset Management,2
Journal of Banking and Finance,4
Journal of Banking Regulation,2
Journal of Behavioral and Experimental Economics,2
Journal of Behavioral and Experimental Finance,1
Journal of Behavioral decision Making,3
Journal of Behavioral Finance,2
Journal of Bioeconomics,1
Journal of Brand Management,2
Journal of Broadcasting and Electronic Media,2
Journal of Business and Economic Statistics,4
Journal of Business and Industrial Marketing,2
Journal of Business and Psychology,3
Journal of Business And Technical Communication,2
Journal of Business Communication,1
Journal of Business Economics,2
Journal of Business Economics and Management,2
Journal of Business ethics,4
Journal of Business Ethics Education,1
Journal of Business Finance and Accounting,3
Journal of Business Law,2
Journal of Business Logistics,3
Journal of Business Models,1
Journal of Business Research,3
Journal of Business Strategy,1
Journal of Business to Business Marketing,2
Journal of Business Venturing,5
Journal of Business Venturing Insights,2
Journal of Career Assessment,2
Journal of Career development,1
Journal of Change Management,1
Journal of China Tourism Research,1
Journal of Chinese Economic and Business Studies,1
Journal of Choice Modelling,1
Journal of Cleaner Production,3
Journal of Cognitive Engineering and Decision Making,2
Journal of Combinatorial Optimization,2
Journal of Commodity Markets,3
Journal of Common Market Studies,3
Journal of Communication,5
Journal of Communication Inquiry,1
Journal of Communication Management,1
Journal of Community Psychology,2
Journal of Comparative Economics,3
Journal of Computational and Graphical Statistics,3
Journal of Computational Finance,1
Journal of Computer Information Systems,2
Journal of Computer Mediated Communication,3
Journal of Conflict Resolution,3
Journal of Construction Engineering and Management,2
Journal of Constructivist Psychology,1
Journal of Consumer Affairs,2
Journal of Consumer Behavior,2
Journal of Consumer Culture,4
Journal of Consumer Marketing,1
Journal of Consumer Policy,2
Journal of Consumer Psychology,5
Journal of Consumer Research,5
Journal of Contemporary Accounting and Economics,2
Journal of Contemporary Administration,1
Journal of Convention and Event Tourism,1
"Journal of Corporate Finance: Contracting, Governance and Organization",4
Journal of Corporate Real Estate,1
Journal of Creating Value,1
Journal of Creative Communications,1
Journal of Credit Risk,1
Journal of Cross Cultural Psychology,3
Journal of Cultural Economics,2
Journal of Cultural Economy,2
Journal of Current Issues and Research in Advertising,1
Journal of Database Management,1
Journal of Decision Systems,1
